[26-Jun-2025 01:03:47 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 01:30:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 01:30:42 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 01:30:50 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 01:30:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 01:30:54 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 01:44:51 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 01:45:02 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:28:59 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:29:01 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:29:01 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:29:08 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:29:09 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:29:09 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:34:18 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:34:20 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:34:20 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:41:10 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:41:11 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:41:11 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:41:15 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:41:15 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:41:18 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:41:18 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:45:13 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:45:23 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:45:23 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:45:25 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:45:25 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:45:27 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:45:27 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:54:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:54:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:54:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:54:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:54:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:54:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:54:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:57:34 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:57:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:57:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:57:38 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:57:38 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:57:39 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:57:39 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:57:42 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:57:42 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:57:45 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 03:57:45 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:52 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:54 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:54 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:02:54 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:03:00 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:03:00 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:24:23 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 04:24:28 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
